Column1;Column2;Column3
dobývám si, získávám (+akuz.);κτῶμαι, ᾶσθαι (+akuz.);
obcuji s někým;συν-δια-τρίβω (+dat.);
chybuji;ἁμαρτάνω;
dobře smýšlím;εὖ φρονῶ, εῖν;
spolu zkoumám;συν-δοκιμάζω;
jsem v nejistotě, na rozpacích;ἀμφι-γνοῶ, εῖν;
prohlížím, zkoumám;δι-ορῶ, ᾶν;
ošetřuji, sloužím;θεραπεύω;
poznávám;γνωρίζω;
chybuji;ἐξ-αμαρτάνω;
vysedám na koně;ἀναβαίνω ἐπί τὸν ἵππον;
sestavuji se, seřazuji se;συνίσταμαι;
kousám;δάκνω;
vyháním;ἐξελαύνω;
ženu;ἐλαύνω;
umdlévám;κάμνω;
řežu;τέμνω;
vyrývám;ἐντέμνω;
odpykávám trest (za);δίκην (τινός) τίνω;
vracím se;νοστῶ, εῖν;
přicházím;ἀφικνοῦμαι, εῖσθαι;
zvětšuji;αὐξάνω;
zprotivuji se;ἀπ-εχθάνομαι;
šetřím (+gen);φείδομαι (+gen);
jsem skryt, zůstávám utajen komu;λανθάνω (+akuz.);
zapomínám (+gen);ἐπι-λανθάνομαι (+gen);
pozoruji;αἰσθάνομαι;
dovídám se;πυνθάνομαι;
dosahuji, docházím (losem) (+gen);λαγχάνω (+gen);
trpím;πάσχω;
těžce nesu;χαλεπῶς φέρω;
umírám;ἀποθνῄσκω;
líbím se;ἀρέσκω;
prodávám;πιπράσκω;
nalézám;εὑρίσκω;
připomínám komu (akuz.);ἀνα-μιμνῄσκω (+akuz.);
dospívám;ἡβάσκω;
vycházím;ἐξ-έρχομαι;
zdám se; míním;δοκῶ, εῖν
nazývám, volám;καλῶ, εῖν;
strkám, vytlačuji;ὠθῶ, εῖν;
sdílím se (s někým něco);μεταδίδωμι (τινί τινος);
potřebuji, prosím (+gen.);δέομαι (+gen);
smiřuji se s (dat.);δι-αλλάττομαι (+dat.);
horším se na (dat.);ἄχθομαι (dat.);
žením se s;γαμῶ, εῖν (akuz.);
vyčkávám, čekám na (akuz.);μένω (akuz.);
dělím, uděluji;νέμω;
rozděluji;διανέμω;
dostávám (od někoho);παρα-λαμβάνω;
nabízím;ἐπ-αγγέλλομαι;
posazuji;καθίζω;
otázal jsem se;ἠρόμην (aor.);
jsem vinen, zasluhuji si;ὀφλισκάνω;
lpím na;γλίχομαι (+gen);
jsem povinen (díkem);ὀφείλω (χάριν);
lituji (+gen.);μετα-μέλει μοι (+gen.);
držím se (+gen.);ἔχομαι (+gen.);
začínám; jsem po ruce, přítomen;ὑπ-άρχω
pouštím (z ruky);μεθίημι;
poskytuji, zjednávám; s dvojím akuz.: osvědčuji se;παρ-έχω
opatřuji si, přivádím si svědka;παρ-έχομαι τὸν μάρτυρα;
slibuji;ὑπ-ισχνοῦμαι, εῖσθαι;
následuji (někoho), přidržuji se (k někomu);ἐφ-έπομαι (τινὶ);
přicházím, přišel jsem, jsem tu;ἥκω;
vypíjím;ἐκ-πίνω;
padám;πίπτω;
kazím, podplácím, uplacím;δια-φθείρω;
upadám (do něčeho);περι-πίπτω (τινὶ);
pozoruji, uvažuji;σκοπῶ, εῖν (i v med.);
mohu (+inf.);ἔχω (+inf.);
